Metric,SPY,Strategy
Risk-Free Rate,4.4%,4.4%
Time in Market,70.0%,80.0%
,,
Total Return,-3%,1%
CAGR% (Annual Return),-64.43%,40.21%
,,
Sharpe,-7.3,6.4
RoMaD,-28.55,179.98
Corr to Benchmark,1.0,-0.5
Prob. Sharpe Ratio,2.03%,91.29%
Smart Sharpe,-6.82,5.97
Sortino,-7.25,19.23
Smart Sortino,-6.77,17.96
Sortino/√2,-5.13,13.6
Smart Sortino/√2,-4.79,12.7
Omega,2.65,2.65
,,
Max Drawdown,-2.26%,-0.22%
Longest DD Days,3,4
Volatility (ann.),13.21%,4.1%
R^2,0.25,0.25
Information Ratio,0.41,0.41
Calmar,-28.55,179.98
Skew,-2.04,0.95
Kurtosis,4.15,-0.22
,,
Expected Daily%,-0.25%,0.08%
Expected Monthly%,-1.27%,0.42%
Expected Yearly%,-2.52%,0.84%
Daily Value-at-Risk,-1.39%,-0.27%
Expected Shortfall (cVaR),-1.39%,-0.27%
,,
MTD,0.0%,0.36%
3M,-2.52%,0.84%
6M,-2.52%,0.84%
YTD,-2.52%,0.84%
1Y,-2.52%,0.84%
3Y (ann.),-64.43%,40.21%
5Y (ann.),-64.43%,40.21%
10Y (ann.),-64.43%,40.21%
All-time (ann.),-64.43%,40.21%
,,
Best Day,0.31%,0.49%
Worst Day,-1.96%,-0.13%
Best Month,0.0%,0.47%
Worst Month,-2.52%,0.36%
Best Year,-2.52%,0.84%
Worst Year,-2.52%,0.84%
,,
Avg. Drawdown,-1.15%,-0.17%
Avg. Drawdown Days,2,2
Recovery Factor,1.12,3.74
Ulcer Index,0.01,0.0
Serenity Index,-2.21,-24.83
,,
Avg. Up Month,-,-
Avg. Down Month,-,-
Win Days,4.29,5.0
Loss Days,5.71,5.0
Win Days%,42.86%,50.0%
Win Month%,0.0%,100.0%
Win Quarter%,0.0%,100.0%
Win Year%,0.0%,100.0%
,,
Beta,-,-0.15
Alpha,-,0.16
Correlation,-,-49.74%
Treynor Ratio,-,23.11%
